Apostador: Apostador-3, Ventanilla: 3, Caballo: 0, Cotizacion: 0.988380, Cantidad 153.703201
Apostador: Apostador-1, Ventanilla: 0, Caballo: 1, Cotizacion: 238.763359, Cantidad 15.948427
Apostador: Apostador-5, Ventanilla: 2, Caballo: 1, Cotizacion: 15.028639, Cantidad 41.584476
Apostador: Apostador-2, Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 85.060158
Apostador: Apostador-4, Ventanilla: 5, Caballo: 1, Cotizacion: 5.062046, Cantidad 56.151566
Apostador: Apostador-6, Ventanilla: 4, Caballo: 0, Cotizacion: 1.469982, Cantidad 27.192533
Apostador: Apostador-7, Ventanilla: 3, Caballo: 0, Cotizacion: 1.422109, Cantidad 12.772781
Apostador: Apostador-8, Ventanilla: 0, Caballo: 2, Cotizacion: 392.413143, Cantidad 81.104691
Apostador: Apostador-10, Ventanilla: 2, Caballo: 0, Cotizacion: 1.692775, Cantidad 136.041275
Apostador: Apostador-9, Ventanilla: 6, Caballo: 0, Cotizacion: 1.466097, Cantidad 151.193665
Apostador: Apostador-1, Ventanilla: 5, Caballo: 2, Cotizacion: 9.265643, Cantidad 80.358223
Apostador: Apostador-2, Ventanilla: 1, Caballo: 2, Cotizacion: 5.177249, Cantidad 131.733215
Apostador: Apostador-9, Ventanilla: 4, Caballo: 2, Cotizacion: 3.306788, Cantidad 88.556770
Apostador: Apostador-4, Ventanilla: 3, Caballo: 2, Cotizacion: 2.773071, Cantidad 155.793640
Apostador: Apostador-6, Ventanilla: 0, Caballo: 0, Cotizacion: 2.146866, Cantidad 14.183852
Apostador: Apostador-3, Ventanilla: 8, Caballo: 1, Cotizacion: 10.737099, Cantidad 19.178337
Apostador: Apostador-5, Ventanilla: 7, Caballo: 2, Cotizacion: 2.322096, Cantidad 126.683029
Apostador: Apostador-7, Ventanilla: 2, Caballo: 0, Cotizacion: 2.369863, Cantidad 67.073540
Apostador: Apostador-10, Ventanilla: 10, Caballo: 2, Cotizacion: 2.171150, Cantidad 59.196114
Apostador: Apostador-8, Ventanilla: 9, Caballo: 1, Cotizacion: 11.231720, Cantidad 36.540791
Apostador: Apostador-2, Ventanilla: 6, Caballo: 2, Cotizacion: 2.125891, Cantidad 77.758720
Apostador: Apostador-5, Ventanilla: 5, Caballo: 2, Cotizacion: 2.016755, Cantidad 24.145889
Apostador: Apostador-1, Ventanilla: 1, Caballo: 1, Cotizacion: 9.635682, Cantidad 43.396103
Apostador: Apostador-3, Ventanilla: 3, Caballo: 2, Cotizacion: 2.032064, Cantidad 113.465988
Apostador: Apostador-4, Ventanilla: 0, Caballo: 0, Cotizacion: 2.784266, Cantidad 68.811974
Apostador: Apostador-9, Ventanilla: 4, Caballo: 2, Cotizacion: 2.039561, Cantidad 6.002851
