Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 3, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 2, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 1, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: Apostador: , Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: , Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 0.000000
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 0, Caballo: 3, Cotizacion: 0.000000, Cantidad 194.870209
Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: Apostador: Apostador-2, Ventanilla: 0, Caballo: 4, Cotizacion: 0.000000, Cantidad 9.718243
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: , Ventanilla: 1, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: , Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-1, Ventanilla: 0, Caballo: 0, Cotizacion: 0.000000, Cantidad 158.936295
Apostador: Apostador-2, Ventanilla: 1, Caballo: 4, Cotizacion: 0.000000, Cantidad 158.936295
